Time,Water_level
7/31/2023 14:00,1.47
7/31/2023 17:00,1.5
7/31/2023 20:00,1.59
7/31/2023 23:00,1.61
8/1/2023 2:00,1.66
8/1/2023 5:00,1.63
8/1/2023 8:00,1.59
8/1/2023 11:00,1.55
8/1/2023 14:00,1.53
8/1/2023 17:00,1.51
8/1/2023 20:00,1.59
8/1/2023 23:00,1.6
8/2/2023 2:00,1.61
8/2/2023 5:00,1.6
8/2/2023 8:00,1.59
8/2/2023 11:00,1.54
8/2/2023 14:00,1.51
8/2/2023 17:00,1.49
8/2/2023 20:00,1.57
8/2/2023 23:00,1.6
8/3/2023 2:00,1.6
8/3/2023 5:00,1.61
8/3/2023 8:00,1.58
8/3/2023 11:00,1.52
8/3/2023 14:00,1.44
8/3/2023 17:00,1.48
8/3/2023 20:00,1.55
8/3/2023 23:00,1.57
8/4/2023 2:00,1.59
8/4/2023 5:00,1.58
8/4/2023 8:00,1.57
8/4/2023 11:00,1.71
8/4/2023 14:00,1.79
8/4/2023 17:00,1.71
8/4/2023 20:00,2.17
8/4/2023 23:00,1.86
8/5/2023 2:00,1.76
8/5/2023 5:00,1.69
8/5/2023 8:00,1.62
8/5/2023 11:00,1.59
8/5/2023 14:00,1.52
8/5/2023 17:00,1.48
8/5/2023 20:00,1.53
8/5/2023 23:00,1.58
8/6/2023 2:00,1.58
8/6/2023 5:00,1.57
8/6/2023 8:00,1.54
8/6/2023 11:00,1.46
8/6/2023 14:00,1.42
8/6/2023 17:00,1.37
8/6/2023 20:00,1.51
8/6/2023 23:00,1.56
8/7/2023 2:00,1.56
8/7/2023 5:00,1.57
8/7/2023 8:00,1.56
8/7/2023 11:00,1.5
8/7/2023 14:00,1.44
8/7/2023 17:00,1.44
8/7/2023 20:00,1.48
8/7/2023 23:00,1.9
8/8/2023 2:00,1.77
8/8/2023 5:00,1.69
8/8/2023 8:00,1.62
8/8/2023 11:00,1.53
8/8/2023 14:00,1.53
8/8/2023 17:00,1.47
8/8/2023 20:00,1.58
8/8/2023 23:00,1.59
8/9/2023 2:00,1.57
8/9/2023 5:00,1.56
8/9/2023 8:00,1.52
8/9/2023 11:00,1.46
8/9/2023 14:00,1.43
8/9/2023 17:00,1.42
8/9/2023 20:00,1.5
8/9/2023 23:00,1.54
8/10/2023 2:00,1.51
8/10/2023 5:00,1.49
8/10/2023 8:00,1.49
8/10/2023 11:00,1.39
8/10/2023 14:00,1.41
8/10/2023 17:00,1.43
8/10/2023 20:00,1.44
8/10/2023 23:00,1.48
8/11/2023 2:00,1.48
8/11/2023 5:00,1.48
8/11/2023 8:00,1.48
8/11/2023 11:00,1.34
8/11/2023 14:00,1.37
8/11/2023 17:00,1.35
8/11/2023 20:00,1.43
8/11/2023 23:00,1.45
8/12/2023 2:00,1.43
8/12/2023 5:00,1.43
8/12/2023 8:00,1.41
8/12/2023 11:00,1.27
8/12/2023 14:00,1.32
8/12/2023 17:00,1.27
8/12/2023 20:00,1.32
8/12/2023 23:00,1.39
8/13/2023 2:00,1.4
8/13/2023 5:00,1.41
8/13/2023 8:00,2.01
8/13/2023 11:00,1.98
8/13/2023 14:00,1.76
8/13/2023 17:00,1.71
8/13/2023 20:00,1.73
8/13/2023 23:00,1.67
8/14/2023 2:00,1.62
8/14/2023 5:00,1.63
8/14/2023 8:00,1.6
8/14/2023 11:00,1.47
8/14/2023 14:00,1.5
8/14/2023 17:00,1.54
8/14/2023 20:00,1.6
8/14/2023 23:00,1.62
8/15/2023 2:00,1.63
8/15/2023 5:00,1.64
8/15/2023 8:00,1.63
8/15/2023 11:00,1.56
8/15/2023 14:00,1.5
8/15/2023 17:00,1.47
8/15/2023 20:00,2.39
8/15/2023 23:00,1.86
8/16/2023 2:00,1.69
8/16/2023 5:00,1.56
8/16/2023 8:00,1.47
8/16/2023 11:00,1.37
8/16/2023 14:00,1.31
8/16/2023 17:00,1.3
8/16/2023 20:00,1.32
8/16/2023 23:00,1.35
8/17/2023 2:00,1.35
8/17/2023 5:00,1.34
8/17/2023 8:00,1.33
8/17/2023 11:00,1.27
8/17/2023 14:00,1.22
8/17/2023 17:00,1.17
8/17/2023 20:00,1.34
8/17/2023 23:00,1.35
8/18/2023 2:00,1.34
8/18/2023 5:00,1.35
8/18/2023 8:00,1.34
8/18/2023 11:00,1.22
8/18/2023 14:00,1.24
8/18/2023 17:00,1.19
8/18/2023 20:00,1.29
8/18/2023 23:00,1.33
8/19/2023 2:00,1.32
8/19/2023 5:00,1.32
8/19/2023 8:00,1.3
8/19/2023 11:00,1.26
8/19/2023 14:00,1.23
8/19/2023 17:00,1.17
8/19/2023 20:00,1.29
8/19/2023 23:00,1.34
8/20/2023 2:00,1.33
8/20/2023 5:00,1.32
8/20/2023 8:00,1.33
8/20/2023 11:00,1.22
8/20/2023 14:00,1.18
8/20/2023 17:00,1.16
8/20/2023 20:00,7.45
8/20/2023 23:00,1.33
8/21/2023 2:00,1.36
8/21/2023 5:00,1.36
8/21/2023 8:00,1.33
8/21/2023 11:00,1.21
8/21/2023 14:00,1.15
8/21/2023 17:00,1.13
8/21/2023 20:00,1.32
8/21/2023 23:00,1.35
8/22/2023 2:00,1.35
8/22/2023 5:00,1.35
8/22/2023 8:00,1.34
8/22/2023 11:00,1.27
8/22/2023 14:00,1.23
8/22/2023 17:00,1.3
8/22/2023 20:00,1.31
8/22/2023 23:00,1.33
8/23/2023 2:00,1.33
8/23/2023 5:00,1.35
8/23/2023 8:00,1.34
8/23/2023 11:00,1.25
8/23/2023 14:00,1.35
8/23/2023 17:00,1.19
8/23/2023 20:00,1.32
8/23/2023 23:00,1.34
8/24/2023 2:00,1.34
8/24/2023 5:00,1.34
8/24/2023 8:00,1.35
8/24/2023 11:00,1.23
8/24/2023 14:00,1.26
8/24/2023 17:00,1.27
8/24/2023 20:00,1.38
8/24/2023 23:00,1.42
8/25/2023 2:00,1.42
8/25/2023 5:00,1.38
8/25/2023 8:00,1.3
8/25/2023 11:00,1.16
8/25/2023 14:00,1.22
8/25/2023 17:00,1.15
8/25/2023 20:00,1.38
8/25/2023 23:00,1.42
8/26/2023 2:00,1.41
8/26/2023 5:00,1.39
8/26/2023 8:00,1.36
8/26/2023 11:00,1.24
8/26/2023 14:00,1.2
8/26/2023 17:00,1.29
8/26/2023 20:00,8.53
8/26/2023 23:00,1.45
8/27/2023 2:00,1.42
8/27/2023 5:00,1.39
8/27/2023 8:00,1.34
8/27/2023 11:00,0.947
8/27/2023 14:00,1.33
8/27/2023 17:00,1.2
8/27/2023 20:00,1.39
8/27/2023 23:00,1.38
8/28/2023 2:00,8.47
8/28/2023 5:00,1.74
8/28/2023 8:00,1.62
8/28/2023 11:00,1.8
8/28/2023 14:00,1.68
8/28/2023 17:00,1.37
8/28/2023 20:00,1.43
8/28/2023 23:00,2.24
8/29/2023 2:00,1.88
8/29/2023 5:00,1.82
8/29/2023 8:00,1.69
8/29/2023 11:00,1.62
8/29/2023 14:00,1.45
8/29/2023 17:00,1.3
8/29/2023 20:00,1.41
8/29/2023 23:00,1.39
8/30/2023 2:00,1.77
8/30/2023 5:00,1.67
8/30/2023 8:00,1.55
8/30/2023 11:00,1.44
8/30/2023 14:00,1.22
8/30/2023 17:00,1.4
8/30/2023 20:00,7.6
8/30/2023 23:00,2.06
8/31/2023 2:00,3.99
8/31/2023 5:00,2.56
8/31/2023 8:00,1.94
8/31/2023 11:00,1.99
8/31/2023 14:00,1.72
8/31/2023 17:00,1.62
8/31/2023 20:00,1.63
9/1/2023 2:00,1.54
9/1/2023 5:00,1.5
9/1/2023 8:00,5.48
9/1/2023 11:00,1.39
9/1/2023 20:00,1.46
9/1/2023 23:00,1.42
9/2/2023 2:00,1.4
9/2/2023 5:00,1.37
9/2/2023 8:00,1.36
9/2/2023 11:00,1.27
9/2/2023 14:00,1.27
9/2/2023 17:00,1.21
9/2/2023 20:00,1.33
9/2/2023 23:00,1.35
9/3/2023 2:00,5.43
9/3/2023 5:00,1.35
9/3/2023 8:00,1.35
9/3/2023 11:00,1.23
9/3/2023 14:00,1.21
9/3/2023 17:00,1.22
9/3/2023 20:00,1.39
9/3/2023 23:00,1.42
9/4/2023 2:00,1.42
9/4/2023 5:00,1.44
9/4/2023 8:00,1.4
9/4/2023 11:00,1.33
9/4/2023 14:00,1.22
9/4/2023 17:00,1.28
9/4/2023 20:00,1.37
9/4/2023 23:00,1.4
9/5/2023 2:00,1.42
9/5/2023 5:00,1.43
9/5/2023 8:00,1.41
9/5/2023 11:00,1.4
9/5/2023 14:00,1.32
9/5/2023 17:00,1.27
9/5/2023 20:00,1.43
9/5/2023 23:00,1.43
9/6/2023 2:00,1.43
9/6/2023 5:00,1.45
9/6/2023 8:00,1.45
9/6/2023 11:00,1.33
9/6/2023 14:00,1.61
9/6/2023 17:00,1.38
9/6/2023 20:00,1.46
9/6/2023 23:00,1.46
9/7/2023 2:00,1.44
9/7/2023 5:00,1.44
9/7/2023 8:00,1.44
9/7/2023 11:00,1.32
9/7/2023 14:00,1.31
9/7/2023 17:00,1.24
9/7/2023 20:00,1.4
9/7/2023 23:00,1.44
9/8/2023 2:00,1.44
9/8/2023 5:00,1.5
9/8/2023 8:00,1.46
9/8/2023 11:00,1.33
9/8/2023 14:00,1.29
9/8/2023 17:00,2.01
9/8/2023 20:00,1.65
9/8/2023 23:00,1.55
9/9/2023 2:00,1.5
9/9/2023 5:00,1.48
9/9/2023 8:00,1.48
9/9/2023 11:00,1.36
9/9/2023 14:00,1.33
9/9/2023 17:00,1.42
9/9/2023 20:00,5.74
9/9/2023 23:00,1.76
