#,Date ,"Abs Pres, kPa (LGR S/N: 20853267, SEN S/N: 20853267)","Temp, °C (LGR S/N: 20853267, SEN S/N: 20853267)","Abs Pres Barom., kPa (LGR S/N: 21132118, SEN S/N: 21132118)",Sensor_Depth
1,2/9/2022 14:45,102.314,13.558,,
2,2/9/2022 15:00,102.299,13.269,,
3,2/9/2022 15:15,102.294,13.173,,
4,2/9/2022 15:30,102.294,13.173,,
5,2/9/2022 15:45,102.294,13.173,,
6,2/9/2022 16:00,102.279,13.076,101.44,0.086
7,2/9/2022 16:15,102.274,12.98,101.406,0.089
8,2/9/2022 16:30,102.298,12.883,101.422,0.089
9,2/9/2022 16:45,102.288,12.69,101.444,0.086
10,2/9/2022 17:00,102.278,12.497,101.372,0.092
11,2/9/2022 17:15,102.291,12.401,101.35,0.096
12,2/9/2022 17:30,102.3,12.207,101.347,0.097
13,2/9/2022 17:45,102.295,12.11,101.304,0.101
14,2/9/2022 18:00,102.299,12.013,101.282,0.104
15,2/9/2022 18:15,102.29,12.013,101.246,0.107
16,2/9/2022 18:30,102.265,11.916,101.24,0.105
17,2/9/2022 18:45,102.303,11.916,101.246,0.108
18,2/9/2022 19:00,102.308,11.819,101.25,0.108
19,2/9/2022 19:15,102.336,11.819,101.275,0.108
20,2/9/2022 19:30,102.393,11.819,101.306,0.111
21,2/9/2022 19:45,102.397,11.722,101.315,0.11
22,2/9/2022 20:00,102.397,11.722,101.335,0.108
23,2/9/2022 20:15,102.382,11.625,101.311,0.109
24,2/9/2022 20:30,102.401,11.625,101.325,0.11
25,2/9/2022 20:45,102.401,11.625,101.319,0.11
26,2/9/2022 21:00,102.396,11.528,101.347,0.107
27,2/9/2022 21:15,102.405,11.528,101.336,0.109
28,2/9/2022 21:30,102.396,11.528,101.352,0.107
29,2/9/2022 21:45,102.415,11.528,101.335,0.11
30,2/9/2022 22:00,102.424,11.528,101.344,0.11
31,2/9/2022 22:15,102.434,11.528,101.366,0.109
32,2/9/2022 22:30,102.434,11.528,101.368,0.109
33,2/9/2022 22:45,102.434,11.528,101.357,0.11
34,2/9/2022 23:00,102.424,11.528,101.355,0.109
35,2/9/2022 23:15,102.443,11.528,101.36,0.111
36,2/9/2022 23:30,102.434,11.528,101.362,0.109
37,2/9/2022 23:45,102.434,11.528,101.382,0.107
38,2/10/2022 0:00,102.434,11.528,101.373,0.108
39,2/10/2022 0:15,102.405,11.528,101.362,0.106
40,2/10/2022 0:30,102.386,11.528,101.354,0.105
41,2/10/2022 0:45,102.386,11.528,101.329,0.108
42,2/10/2022 1:00,102.367,11.528,101.314,0.107
43,2/10/2022 1:15,102.358,11.528,101.317,0.106
44,2/10/2022 1:30,102.348,11.528,101.284,0.109
45,2/10/2022 1:45,102.339,11.528,101.303,0.106
46,2/10/2022 2:00,102.335,11.625,101.286,0.107
47,2/10/2022 2:15,102.316,11.625,101.289,0.105
48,2/10/2022 2:30,102.335,11.625,101.267,0.109
49,2/10/2022 2:45,102.316,11.625,101.256,0.108
50,2/10/2022 3:00,102.316,11.625,101.272,0.107
51,2/10/2022 3:15,102.33,11.528,101.255,0.11
52,2/10/2022 3:30,102.33,11.528,101.279,0.107
53,2/10/2022 3:45,102.339,11.528,101.288,0.107
54,2/10/2022 4:00,102.348,11.528,101.277,0.109
55,2/10/2022 4:15,102.343,11.431,101.31,0.105
56,2/10/2022 4:30,102.372,11.431,101.314,0.108
57,2/10/2022 4:45,102.381,11.431,101.339,0.106
58,2/10/2022 5:00,102.396,11.528,101.366,0.105
59,2/10/2022 5:15,102.434,11.528,101.374,0.108
60,2/10/2022 5:30,102.443,11.528,101.399,0.107
61,2/10/2022 5:45,102.457,11.431,101.418,0.106
62,2/10/2022 6:00,102.476,11.431,101.437,0.106
63,2/10/2022 6:15,102.494,11.431,101.446,0.107
64,2/10/2022 6:30,102.5,11.528,101.465,0.106
65,2/10/2022 6:45,102.509,11.528,101.484,0.105
66,2/10/2022 7:00,102.538,11.528,101.505,0.105
67,2/10/2022 7:15,102.538,11.528,101.499,0.106
68,2/10/2022 7:30,102.557,11.528,101.516,0.106
69,2/10/2022 7:45,102.575,11.528,101.522,0.107
70,2/10/2022 8:00,102.594,11.528,101.524,0.109
71,2/10/2022 8:15,102.613,11.528,101.57,0.106
72,2/10/2022 8:30,102.613,11.528,101.655,0.098
73,2/10/2022 8:45,102.632,11.528,101.906,0.074
74,2/10/2022 9:00,102.628,11.625,101.98,0.066
75,2/10/2022 9:15,102.619,11.625,102.031,0.06
76,2/10/2022 9:30,102.624,11.722,102.056,0.058
77,2/10/2022 9:45,102.633,11.722,102.043,0.06
78,2/10/2022 10:00,102.62,11.819,102.063,0.057
79,2/10/2022 10:15,102.621,12.013,102.057,0.058
80,2/10/2022 10:30,102.585,12.594,102.058,0.054
81,2/10/2022 10:45,102.568,13.173,102.058,0.052
82,2/10/2022 11:00,102.564,13.461,102.021,0.055
83,2/10/2022 11:15,102.56,13.558,102.009,0.056
84,2/10/2022 11:30,102.527,14.038,101.989,0.055
85,2/10/2022 11:45,102.489,14.23,101.973,0.053
86,2/10/2022 12:00,102.442,14.421,101.928,0.052
87,2/10/2022 12:15,102.409,14.517,101.864,0.056
88,2/10/2022 12:30,102.376,14.613,101.838,0.055
89,2/10/2022 12:45,102.338,14.804,101.815,0.053
90,2/10/2022 13:00,102.304,14.9,101.781,0.053
91,2/10/2022 13:15,102.266,14.9,101.753,0.052
92,2/10/2022 13:30,102.271,14.996,101.713,0.057
93,2/10/2022 13:45,102.243,14.996,101.682,0.057
94,2/10/2022 14:00,102.238,15.091,101.683,0.057
95,2/10/2022 14:15,102.243,14.996,101.663,0.059
96,2/10/2022 14:30,102.238,14.9,101.655,0.06
97,2/10/2022 14:45,102.262,14.996,101.644,0.063
98,2/10/2022 15:00,102.266,14.9,101.644,0.063
99,2/10/2022 15:15,102.257,14.9,101.621,0.065
100,2/10/2022 15:30,102.271,14.804,101.531,0.076
101,2/10/2022 15:45,102.304,14.709,101.514,0.081
102,2/10/2022 16:00,102.324,14.517,101.493,0.085
103,2/10/2022 16:15,102.328,14.421,101.495,0.085
104,2/10/2022 16:30,102.343,14.325,101.503,0.086
105,2/10/2022 16:45,102.352,14.134,101.497,0.087
106,2/10/2022 17:00,102.361,13.942,101.495,0.088
107,2/10/2022 17:15,102.371,13.75,101.491,0.09
108,2/10/2022 17:30,102.356,13.654,101.46,0.091
109,2/10/2022 17:45,102.389,13.558,101.483,0.092
110,2/10/2022 18:00,102.403,13.461,101.468,0.095
111,2/10/2022 18:15,102.417,13.365,101.467,0.097
112,2/10/2022 18:30,102.441,13.269,101.458,0.1
113,2/10/2022 18:45,102.45,13.269,101.45,0.102
114,2/10/2022 19:00,102.474,13.173,101.446,0.105
115,2/10/2022 19:15,102.488,13.076,101.472,0.104
116,2/10/2022 19:30,102.506,13.076,101.478,0.105
117,2/10/2022 19:45,102.52,12.98,101.473,0.107
118,2/10/2022 20:00,102.52,12.98,101.49,0.105
119,2/10/2022 20:15,102.525,12.883,101.485,0.106
120,2/10/2022 20:30,102.544,12.883,101.502,0.106
121,2/10/2022 20:45,102.534,12.883,101.502,0.105
122,2/10/2022 21:00,102.572,12.883,101.524,0.107
123,2/10/2022 21:15,102.563,12.883,101.513,0.107
124,2/10/2022 21:30,102.558,12.787,101.501,0.108
125,2/10/2022 21:45,102.567,12.787,101.501,0.109
126,2/10/2022 22:00,102.567,12.787,101.517,0.107
127,2/10/2022 22:15,102.586,12.787,101.506,0.11
128,2/10/2022 22:30,102.586,12.787,101.488,0.112
129,2/10/2022 22:45,102.577,12.787,101.503,0.11
130,2/10/2022 23:00,102.595,12.787,101.514,0.11
131,2/10/2022 23:15,102.586,12.787,101.507,0.11
132,2/10/2022 23:30,102.577,12.787,101.505,0.109
133,2/10/2022 23:45,102.582,12.883,101.483,0.112
134,2/11/2022 0:00,102.591,12.883,101.477,0.114
135,2/11/2022 0:15,102.582,12.883,101.488,0.112
136,2/11/2022 0:30,102.577,12.787,101.482,0.112
137,2/11/2022 0:45,102.558,12.787,101.455,0.113
138,2/11/2022 1:00,102.558,12.787,101.465,0.112
139,2/11/2022 1:15,102.567,12.787,101.468,0.112
140,2/11/2022 1:30,102.558,12.787,101.473,0.111
141,2/11/2022 1:45,102.558,12.787,101.462,0.112
142,2/11/2022 2:00,102.577,12.787,101.479,0.112
143,2/11/2022 2:15,102.586,12.787,101.465,0.114
144,2/11/2022 2:30,102.605,12.787,101.494,0.113
145,2/11/2022 2:45,102.619,12.69,101.525,0.112
146,2/11/2022 3:00,102.619,12.69,101.493,0.115
147,2/11/2022 3:15,102.647,12.69,101.528,0.114
148,2/11/2022 3:30,102.661,12.594,101.535,0.115
149,2/11/2022 3:45,102.661,12.594,101.523,0.116
150,2/11/2022 4:00,102.652,12.594,101.528,0.115
151,2/11/2022 4:15,102.646,12.497,101.53,0.114
152,2/11/2022 4:30,102.684,12.497,101.541,0.117
153,2/11/2022 4:45,102.689,12.401,101.558,0.115
154,2/11/2022 5:00,102.708,12.401,101.574,0.116
155,2/11/2022 5:15,102.726,12.401,101.574,0.118
156,2/11/2022 5:30,102.74,12.304,101.61,0.115
157,2/11/2022 5:45,102.759,12.304,101.596,0.119
158,2/11/2022 6:00,102.769,12.304,101.614,0.118
159,2/11/2022 6:15,102.773,12.207,101.628,0.117
160,2/11/2022 6:30,102.782,12.207,101.641,0.116
161,2/11/2022 6:45,102.782,12.207,101.621,0.118
162,2/11/2022 7:00,102.777,12.11,101.635,0.117
163,2/11/2022 7:15,102.796,12.11,101.654,0.117
164,2/11/2022 7:30,102.787,12.11,101.667,0.114
165,2/11/2022 7:45,102.838,12.013,101.7,0.116
166,2/11/2022 8:00,102.857,12.013,101.715,0.117
167,2/11/2022 8:15,102.876,12.013,101.672,0.123
168,2/11/2022 8:30,102.886,12.013,101.848,0.106
169,2/11/2022 8:45,102.904,12.013,102.077,0.084
170,2/11/2022 9:00,102.895,12.013,102.134,0.078
171,2/11/2022 9:15,102.895,12.013,102.156,0.075
172,2/11/2022 9:30,102.886,12.013,102.178,0.072
173,2/11/2022 9:45,102.895,12.013,102.187,0.072
174,2/11/2022 10:00,102.895,12.013,102.218,0.069
175,2/11/2022 10:15,102.891,12.11,102.207,0.07
176,2/11/2022 10:30,102.855,12.69,102.167,0.07
177,2/11/2022 10:45,102.833,13.173,102.161,0.069
178,2/11/2022 11:00,102.829,13.461,102.167,0.068
179,2/11/2022 11:15,102.792,13.654,102.145,0.066
180,2/11/2022 11:30,102.764,14.23,102.119,0.066
