#,Date,"Full Range, μS/cm (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)",Specific_Conductance
1,2/9/2022 16:45,13.4,14.12,348.1
2,2/9/2022 17:00,3,12.69,80.8
3,2/9/2022 17:15,13.4,11.42,373
4,2/9/2022 17:30,3.1,10.49,88.4
5,2/9/2022 17:45,13.5,10.04,389.8
6,2/9/2022 18:00,13.5,9.79,392.4
7,2/9/2022 18:15,13.5,9.59,394.6
8,2/9/2022 18:30,3.1,9.34,91.2
9,2/9/2022 18:45,3.1,9.18,91.6
10,2/9/2022 19:00,3.1,8.74,92.7
11,2/9/2022 19:15,3.1,8.08,94.4
12,2/9/2022 19:30,13.5,7.42,419
13,2/9/2022 19:45,1.1,6.8,34.7
14,2/9/2022 20:00,3.1,6.26,99.4
15,2/9/2022 20:15,13.5,5.76,439.4
16,2/9/2022 20:30,13.5,5.3,445.3
17,2/9/2022 20:45,3.1,4.93,103.4
18,2/9/2022 21:00,13.6,4.56,458.5
19,2/9/2022 21:15,1.2,4.27,40.8
20,2/9/2022 21:30,3.1,3.97,106.4
21,2/9/2022 21:45,13.6,3.69,470.7
22,2/9/2022 22:00,3.1,3.43,108.1
23,2/9/2022 22:15,3.1,3.18,109
24,2/9/2022 22:30,13.6,2.96,481.3
25,2/9/2022 22:45,3.1,2.77,110.3
26,2/9/2022 23:00,13.6,2.62,486.3
27,2/9/2022 23:15,13.6,2.5,488.2
28,2/9/2022 23:30,3.9,2.32,140.8
29,2/9/2022 23:45,13.6,2.16,493.4
30,2/10/2022 0:00,3.1,2.02,113
31,2/10/2022 0:15,3.1,1.91,113.3
32,2/10/2022 0:30,1.2,1.8,44
33,2/10/2022 0:45,13.6,1.72,500.2
34,2/10/2022 1:00,3.1,1.63,114.3
35,2/10/2022 1:15,3.9,1.55,144.2
36,2/10/2022 1:30,1.2,1.46,44.5
37,2/10/2022 1:45,3.1,1.41,115.2
38,2/10/2022 2:00,3.1,1.39,115.2
39,2/10/2022 2:15,13.6,1.42,505.1
40,2/10/2022 2:30,3.1,1.45,115
41,2/10/2022 2:45,3.1,1.44,115.1
42,2/10/2022 3:00,3.1,1.45,115
43,2/10/2022 3:15,1.2,1.4,44.6
44,2/10/2022 3:30,3.1,1.36,115.4
45,2/10/2022 3:45,13.6,1.35,506.3
46,2/10/2022 4:00,3.1,1.29,115.6
47,2/10/2022 4:15,3.1,1.17,116.1
48,2/10/2022 4:30,3.1,1.07,116.4
49,2/10/2022 4:45,3.1,1.09,116.4
50,2/10/2022 5:00,3.1,1.07,116.4
51,2/10/2022 5:15,3.1,1.04,116.6
52,2/10/2022 5:30,1.2,1.14,45
53,2/10/2022 5:45,3.1,1.26,115.7
54,2/10/2022 6:00,1.2,1.25,44.8
55,2/10/2022 6:15,13.6,1.19,509
56,2/10/2022 6:30,3.1,1.29,115.6
57,2/10/2022 6:45,13.6,1.49,504.2
58,2/10/2022 7:00,13.6,1.67,501.4
59,2/10/2022 7:15,3.1,1.71,114.1
60,2/10/2022 7:30,3.1,1.52,114.8
61,2/10/2022 7:45,13.6,1.31,507.1
62,2/10/2022 8:00,1.2,1.14,45
63,2/10/2022 8:15,13.6,1,512.1
64,2/10/2022 8:30,3.1,0.95,116.9
65,2/10/2022 8:45,3.1,1.05,116.6
66,2/10/2022 9:00,3.1,1.42,115.2
67,2/10/2022 9:15,13.6,2.01,496.2
68,2/10/2022 9:30,13.6,3.18,478.6
69,2/10/2022 9:45,13.6,4.86,455.1
70,2/10/2022 10:00,3.1,6.78,98.1
71,2/10/2022 10:15,3.8,8.82,113.6
72,2/10/2022 10:30,3.1,10.82,87.8
73,2/10/2022 10:45,13.4,12.74,361.2
74,2/10/2022 11:00,13.4,14.49,345.6
75,2/10/2022 11:15,3,16.14,74.3
76,2/10/2022 11:30,3.8,17.58,90.9
77,2/10/2022 11:45,13.3,18.79,309.4
78,2/10/2022 12:00,13.3,19.96,301.2
79,2/10/2022 12:15,3.8,21.01,84.1
80,2/10/2022 12:30,3.8,22.01,82.2
81,2/10/2022 12:45,3,22.88,63.7
82,2/10/2022 13:00,13.2,23.67,275.5
83,2/10/2022 13:15,13.2,24.23,272.2
84,2/10/2022 13:30,13.2,22.98,279.6
85,2/10/2022 13:45,3.8,20.95,84.2
86,2/10/2022 14:00,13.3,19.34,305.6
87,2/10/2022 14:15,1.1,18.31,25.9
88,2/10/2022 14:30,13.3,17.53,318.8
89,2/10/2022 14:45,3,16.98,72.9
90,2/10/2022 15:00,3.8,16.55,93.2
91,2/10/2022 15:15,13.4,16.22,331.4
92,2/10/2022 15:30,13.4,15.94,333.7
93,2/10/2022 15:45,3,15.82,74.9
94,2/10/2022 16:00,1.1,15.74,27.5
95,2/10/2022 16:15,13.4,15.62,336.3
96,2/10/2022 16:30,13.4,15.55,336.9
97,2/10/2022 16:45,13.4,15.52,337.1
98,2/10/2022 17:00,3,15.56,75.4
99,2/10/2022 17:15,3,15.41,75.7
100,2/10/2022 17:30,1.1,15.14,27.9
101,2/10/2022 17:45,3,15.06,76.3
102,2/10/2022 18:00,13.4,14.78,343.4
103,2/10/2022 18:15,3,14.49,77.4
104,2/10/2022 18:30,3,14.2,78
105,2/10/2022 18:45,13.4,13.84,351.5
106,2/10/2022 19:00,3,13.12,80.1
107,2/10/2022 19:15,3,12.42,81.6
108,2/10/2022 19:30,3.1,11.81,85.7
109,2/10/2022 19:45,13.4,11.27,375.5
110,2/10/2022 20:00,3.1,10.92,87.7
111,2/10/2022 20:15,3.1,10.94,87.6
112,2/10/2022 20:30,3.8,10.94,107.4
113,2/10/2022 20:45,13.5,10.77,383.4
114,2/10/2022 21:00,13.5,10.54,385.8
115,2/10/2022 21:15,1.1,10.36,31.6
116,2/10/2022 21:30,3.1,10.18,89.4
117,2/10/2022 21:45,3.1,10.03,89.8
118,2/10/2022 22:00,13.5,9.9,392.5
119,2/10/2022 22:15,1.1,9.8,32.1
120,2/10/2022 22:30,1.1,9.59,32.2
121,2/10/2022 22:45,3.1,9.38,91.4
122,2/10/2022 23:00,1.1,9.25,32.5
123,2/10/2022 23:15,3.1,9.03,92.3
124,2/10/2022 23:30,13.5,8.74,405.1
