#,"Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21131861, SEN S/N: 21131861)","Temp, °C (LGR S/N: 21131861, SEN S/N: 21131861)","Abs Pres Barom., kPa (LGR S/N: 21132118, SEN S/N: 21132118)","Sensor Depth, meters (LGR S/N: 21131861)"
1,9/13/23 10:00,101.445,27.272,101.573,-0.013
2,9/13/23 10:15,101.43,26.195,101.588,-0.016
3,9/13/23 10:30,101.45,25.708,101.58,-0.013
4,9/13/23 10:45,101.441,25.416,101.582,-0.014
5,9/13/23 11:00,101.422,25.319,101.566,-0.015
6,9/13/23 11:15,101.405,25.319,101.558,-0.016
7,9/13/23 11:30,101.385,25.222,101.549,-0.017
8,9/13/23 11:45,101.385,25.222,101.545,-0.016
9,9/13/23 12:00,101.372,25.319,101.535,-0.017
10,9/13/23 12:15,101.377,25.513,101.518,-0.014
11,9/13/23 12:30,101.366,25.708,101.499,-0.014
12,9/13/23 12:45,101.358,26,101.514,-0.016
13,9/13/23 13:00,101.327,26.097,101.457,-0.013
14,9/13/23 13:15,101.33,26.195,101.459,-0.013
15,9/13/23 13:30,101.294,26.097,101.443,-0.015
16,9/13/23 13:45,101.292,26.585,101.419,-0.013
17,9/13/23 14:00,101.295,27.272,101.412,-0.012
18,9/13/23 14:15,101.301,27.468,101.412,-0.011
19,9/13/23 14:30,101.271,27.567,101.368,-0.01
20,9/13/23 14:45,101.24,27.665,101.358,-0.012
21,9/13/23 15:00,101.24,27.665,101.368,-0.013
22,9/13/23 15:15,101.223,27.665,101.354,-0.013
23,9/13/23 15:30,101.207,27.665,101.325,-0.012
24,9/13/23 15:45,101.21,27.764,101.345,-0.014
25,9/13/23 16:00,101.193,27.764,101.322,-0.013
26,9/13/23 16:15,101.198,27.37,101.304,-0.011
27,9/13/23 16:30,101.189,27.075,101.318,-0.013
28,9/13/23 16:45,101.245,26.683,101.334,-0.009
29,9/13/23 17:00,101.264,26.195,101.365,-0.01
30,9/13/23 17:15,101.236,25.805,101.353,-0.012
31,9/13/23 17:30,101.183,25.708,101.332,-0.015
32,9/13/23 17:45,101.21,25.513,101.325,-0.012
33,9/13/23 18:00,101.194,25.513,101.334,-0.014
34,9/13/23 18:15,101.188,25.319,101.321,-0.014
35,9/13/23 18:30,101.232,25.125,101.357,-0.013
36,9/13/23 18:45,101.244,24.931,101.379,-0.014
37,9/13/23 19:00,101.271,24.738,101.378,-0.011
38,9/13/23 19:15,101.26,24.351,101.374,-0.012
39,9/13/23 19:30,101.224,24.255,101.339,-0.012
40,9/13/23 19:45,101.241,24.255,101.336,-0.01
41,9/13/23 20:00,101.268,24.062,101.369,-0.01
42,9/13/23 20:15,101.266,23.966,101.341,-0.008
43,9/13/23 20:30,101.246,23.869,101.324,-0.008
44,9/13/23 20:45,101.263,23.869,101.379,-0.012
45,9/13/23 21:00,101.296,23.869,101.368,-0.007
46,9/13/23 21:15,101.294,23.773,101.379,-0.009
47,9/13/23 21:30,101.291,23.677,101.398,-0.011
48,9/13/23 21:45,101.305,23.581,101.402,-0.01
49,9/13/23 22:00,101.288,23.581,101.399,-0.011
50,9/13/23 22:15,101.288,23.581,101.399,-0.011
51,9/13/23 22:30,101.316,23.388,101.413,-0.01
52,9/13/23 22:45,101.319,23.484,101.425,-0.011
53,9/13/23 23:00,101.335,23.484,101.428,-0.01
54,9/13/23 23:15,101.333,23.388,101.436,-0.011
55,9/13/23 23:30,101.333,23.388,101.447,-0.012
56,9/13/23 23:45,101.363,23.292,101.454,-0.009
57,9/14/23 0:00,101.358,23.1,101.451,-0.01
58,9/14/23 0:15,101.341,23.1,101.411,-0.007
59,9/14/23 0:30,101.308,23.1,101.397,-0.009
60,9/14/23 0:45,101.308,23.1,101.386,-0.008
61,9/14/23 1:00,101.288,23.004,101.383,-0.01
62,9/14/23 1:15,101.305,23.004,101.379,-0.008
63,9/14/23 1:30,101.297,22.717,101.398,-0.01
64,9/14/23 1:45,101.28,22.717,101.361,-0.008
65,9/14/23 2:00,101.28,22.717,101.372,-0.009
66,9/14/23 2:15,101.28,22.717,101.358,-0.008
67,9/14/23 2:30,101.261,22.621,101.369,-0.011
68,9/14/23 2:45,101.241,22.525,101.332,-0.009
69,9/14/23 3:00,101.239,22.429,101.34,-0.01
70,9/14/23 3:15,101.255,22.429,101.34,-0.009
71,9/14/23 3:30,101.252,22.333,101.348,-0.01
72,9/14/23 3:45,101.261,22.046,101.348,-0.009
73,9/14/23 4:00,101.278,22.046,101.377,-0.01
74,9/14/23 4:15,101.283,22.238,101.355,-0.007
75,9/14/23 4:30,101.286,22.333,101.391,-0.011
76,9/14/23 4:45,101.272,22.429,101.372,-0.01
77,9/14/23 5:00,101.272,22.429,101.365,-0.01
78,9/14/23 5:15,101.255,22.429,101.376,-0.012
