#,Date,Ch: 1 - Temperature   (°C ),Ch: 2 - Millivolts   (mv), pH  
1,04/04/2022 11:45:00,15.51,5.28,6.46
2,04/04/2022 12:00:00,15.96,4.78,6.47
3,04/04/2022 12:15:00,16.22,4.41,6.47
4,04/04/2022 12:30:00,16.49,4.25,6.48
5,04/04/2022 12:45:00,16.70,4.34,6.48
6,04/04/2022 13:00:00,16.94,4.38,6.48
7,04/04/2022 13:15:00,17.15,4.56,6.47
8,04/04/2022 13:30:00,17.34,4.83,6.47
9,04/04/2022 13:45:00,17.51,5.11,6.46
10,04/04/2022 14:00:00,17.65,5.11,6.47
11,04/04/2022 14:15:00,17.80,5.27,6.46
12,04/04/2022 14:30:00,17.99,5.36,6.46
13,04/04/2022 14:45:00,18.18,5.36,6.46
14,04/04/2022 15:00:00,18.37,5.19,6.47
15,04/04/2022 15:15:00,18.51,3.73,6.49
16,04/04/2022 15:30:00,18.70,3.02,6.50
17,04/04/2022 15:45:00,18.84,2.39,6.51
18,04/04/2022 16:00:00,19.01,1.70,6.53
19,04/04/2022 16:15:00,19.13,1.28,6.53
20,04/04/2022 16:30:00,19.27,1.03,6.54
21,04/04/2022 16:45:00,19.37,0.69,6.54
22,04/04/2022 17:00:00,19.46,0.59,6.55
23,04/04/2022 17:15:00,19.48,0.45,6.55
24,04/04/2022 17:30:00,19.51,0.19,6.55
25,04/04/2022 17:45:00,19.53,0.09,6.55
26,04/04/2022 18:00:00,19.51,0.28,6.55
27,04/04/2022 18:15:00,19.48,0.56,6.55
28,04/04/2022 18:30:00,19.46,0.84,6.54
29,04/04/2022 18:45:00,19.41,1.50,6.53
30,04/04/2022 19:00:00,19.34,2.05,6.52
31,04/04/2022 19:15:00,19.25,2.52,6.51
32,04/04/2022 19:30:00,19.13,3.13,6.50
33,04/04/2022 19:45:00,19.03,3.77,6.49
34,04/04/2022 20:00:00,18.91,4.70,6.47
35,04/04/2022 20:15:00,18.79,5.52,6.46
36,04/04/2022 20:30:00,18.65,6.27,6.45
37,04/04/2022 20:45:00,18.53,6.53,6.44
38,04/04/2022 21:00:00,18.44,6.80,6.44
39,04/04/2022 21:15:00,18.32,7.31,6.43
40,04/04/2022 21:30:00,18.20,7.88,6.42
41,04/04/2022 21:45:00,18.10,8.28,6.41
42,04/04/2022 22:00:00,18.01,8.69,6.40
43,04/04/2022 22:15:00,17.91,8.92,6.40
44,04/04/2022 22:30:00,17.82,8.95,6.40
45,04/04/2022 22:45:00,17.75,8.86,6.40
46,04/04/2022 23:00:00,17.65,8.72,6.40
47,04/04/2022 23:15:00,17.58,8.48,6.41
48,04/04/2022 23:30:00,17.49,8.16,6.41
49,04/04/2022 23:45:00,17.39,7.77,6.42
50,04/05/2022 00:00:00,17.30,7.61,6.42
51,04/05/2022 00:15:00,17.22,7.56,6.42
52,04/05/2022 00:30:00,17.13,7.53,6.42
53,04/05/2022 00:45:00,17.06,7.45,6.42
54,04/05/2022 01:00:00,16.99,7.33,6.43
55,04/05/2022 01:15:00,16.94,7.20,6.43
56,04/05/2022 01:30:00,16.87,7.11,6.43
57,04/05/2022 01:45:00,16.80,6.98,6.43
58,04/05/2022 02:00:00,16.75,6.84,6.43
59,04/05/2022 02:15:00,16.68,6.69,6.44
60,04/05/2022 02:30:00,16.63,6.56,6.44
61,04/05/2022 02:45:00,16.58,6.48,6.44
62,04/05/2022 03:00:00,16.53,6.36,6.44
63,04/05/2022 03:15:00,16.49,6.22,6.44
64,04/05/2022 03:30:00,16.44,6.03,6.45
65,04/05/2022 03:45:00,16.39,5.86,6.45
66,04/05/2022 04:00:00,16.34,5.72,6.45
67,04/05/2022 04:15:00,16.30,5.56,6.45
68,04/05/2022 04:30:00,16.25,5.44,6.46
69,04/05/2022 04:45:00,16.22,5.30,6.46
70,04/05/2022 05:00:00,16.18,5.14,6.46
71,04/05/2022 05:15:00,16.15,5.00,6.46
72,04/05/2022 05:30:00,16.11,4.88,6.47
73,04/05/2022 05:45:00,16.08,4.77,6.47
74,04/05/2022 06:00:00,16.03,4.72,6.47
75,04/05/2022 06:15:00,16.01,4.67,6.47
76,04/05/2022 06:30:00,15.96,4.80,6.47
