#,Date ,"Full Range, μS/cm (LGR S/N: 10104851, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851, SEN S/N: 10104851)",Specific_Conductance,Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851),Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851),Coupler Detached (LGR S/N: 10104851),Coupler Attached (LGR S/N: 10104851),Host Connected (LGR S/N: 10104851),Stopped (LGR S/N: 10104851),End Of File (LGR S/N: 10104851)
1,4/21/2023 12:00,315.5,18.13,431.4,Logged,,,,,,,,,,,,,,
2,4/21/2023 12:15,315.9,18.14,432.7,,,,,,,,,,,,,,,
3,4/21/2023 12:30,319,18.18,437.5,,,,,,,,,,,,,,,
4,4/21/2023 12:45,318.6,18.24,437.3,,,,,,,,,,,,,,,
5,4/21/2023 13:00,317.8,18.3,436.5,,,,,,,,,,,,,,,
6,4/21/2023 13:15,318.2,18.37,437.3,,,,,,,,,,,,,,,
7,4/21/2023 13:30,318.6,18.43,438.2,,,,,,,,,,,,,,,
8,4/21/2023 13:45,328.9,18.51,452.5,,,,,,,,,,,,,,,
9,4/21/2023 14:00,320.1,18.58,440.6,,,,,,,,,,,,,,,
10,4/21/2023 14:15,320.1,18.64,440.9,,,,,,,,,,,,,,,
11,4/21/2023 14:30,321.3,18.66,443.3,,,,,,,,,,,,,,,
12,4/21/2023 14:45,322.1,18.69,445,,,,,,,,,,,,,,,
13,4/21/2023 15:00,322.5,18.69,446.5,,,,,,,,,,,,,,,
14,4/21/2023 15:15,322.1,18.7,446.8,,,,,,,,,,,,,,,
15,4/21/2023 15:30,322.5,18.69,448.4,,,,,,,,,,,,,,,
16,4/21/2023 15:45,323.3,18.7,450.4,,,,,,,,,,,,,,,
17,4/21/2023 16:00,324.5,18.69,453.1,,,,,,,,,,,,,,,
18,4/21/2023 16:15,325.2,18.7,454.9,,,,,,,,,,,,,,,
19,4/21/2023 16:30,326.4,18.7,457.5,,,,,,,,,,,,,,,
20,4/21/2023 16:45,327.2,18.71,459.5,,,,,,,,,,,,,,,
21,4/21/2023 17:00,328.4,18.71,462.1,,,,,,,,,,,,,,,
22,4/21/2023 17:15,328.8,18.71,463.7,,,,,,,,,,,,,,,
23,4/21/2023 17:30,329.6,18.73,465.5,,,,,,,,,,,,,,,
24,4/21/2023 17:45,330.4,18.7,468,,,,,,,,,,,,,,,
25,4/21/2023 18:00,330.8,18.68,469.7,,,,,,,,,,,,,,,
26,4/21/2023 18:15,331.2,18.64,471.7,,,,,,,,,,,,,,,
27,4/21/2023 18:30,331.7,18.6,473.8,,,,,,,,,,,,,,,
28,4/21/2023 18:45,332.1,18.58,475.6,,,,,,,,,,,,,,,
29,4/21/2023 19:00,331.7,18.56,476.2,,,,,,,,,,,,,,,
30,4/21/2023 19:15,330.5,18.53,475.8,,,,,,,,,,,,,,,
31,4/21/2023 19:30,329.7,18.49,476,,,,,,,,,,,,,,,
32,4/21/2023 19:45,329.3,18.47,476.6,,,,,,,,,,,,,,,
33,4/21/2023 20:00,328.9,18.45,477.2,,,,,,,,,,,,,,,
34,4/21/2023 20:15,328.5,18.43,477.9,,,,,,,,,,,,,,,
35,4/21/2023 20:30,328.1,18.41,478.5,,,,,,,,,,,,,,,
36,4/21/2023 20:45,328.1,18.4,479.5,,,,,,,,,,,,,,,
37,4/21/2023 21:00,327.4,18.37,479.8,,,,,,,,,,,,,,,
38,4/21/2023 21:15,327.4,18.36,480.9,,,,,,,,,,,,,,,
39,4/21/2023 21:30,327.4,18.34,482.1,,,,,,,,,,,,,,,
40,4/21/2023 21:45,327.4,18.32,483.3,,,,,,,,,,,,,,,
41,4/21/2023 22:00,327,18.3,483.9,,,,,,,,,,,,,,,
42,4/21/2023 22:15,327,18.28,485.1,,,,,,,,,,,,,,,
43,4/21/2023 22:30,327,18.25,486.4,,,,,,,,,,,,,,,
44,4/21/2023 22:45,327,18.23,487.5,,,,,,,,,,,,,,,
45,4/21/2023 23:00,327,18.2,488.9,,,,,,,,,,,,,,,
46,4/21/2023 23:15,327,18.18,490.1,,,,,,,,,,,,,,,
47,4/21/2023 23:30,326.6,18.14,490.9,,,,,,,,,,,,,,,
48,4/21/2023 23:45,326.6,18.13,492,,,,,,,,,,,,,,,
49,4/22/2023 0:00,326.6,18.11,493.2,,,,,,,,,,,,,,,
50,4/22/2023 0:15,326.3,18.09,493.9,,,,,,,,,,,,,,,
51,4/22/2023 0:30,326.3,18.09,494.9,,,,,,,,,,,,,,,
52,4/22/2023 0:45,326.3,18.07,496.1,,,,,,,,,,,,,,,
53,4/22/2023 1:00,326.7,18.06,497.8,,,,,,,,,,,,,,,
54,4/22/2023 1:15,326.7,18.05,498.8,,,,,,,,,,,,,,,
55,4/22/2023 1:30,326.7,18.03,500,,,,,,,,,,,,,,,
56,4/22/2023 1:45,327.9,18.01,503.1,,,,,,,,,,,,,,,
57,4/22/2023 2:00,328.7,17.98,505.6,,,,,,,,,,,,,,,
58,4/22/2023 2:15,329.1,17.97,507.4,,,,,,,,,,,,,,,
