#,Date ,"Low Range, μS/cm (LGR S/N: 20936906, SEN S/N: 20936906)","Full Range, μS/cm (LGR S/N: 20936906, SEN S/N: 20936906)","Temp, °F (LGR S/N: 20936906, SEN S/N: 20936906)",Specific_Conductance
1,2/9/2022 16:00,,272.6,58.82,156.2
2,2/9/2022 16:15,,267.1,58.55,153.6
3,2/9/2022 16:30,,263.9,58.46,152
4,2/9/2022 16:45,,263.1,58.46,151.5
5,2/9/2022 17:00,,262.7,58.46,151.3
6,2/9/2022 17:15,,262.3,58.46,151.1
7,2/9/2022 17:30,,261.5,58.44,150.6
8,2/9/2022 17:45,,261.5,58.44,150.6
9,2/9/2022 18:00,,261.5,58.46,150.6
10,2/9/2022 18:15,,261.1,58.44,150.4
11,2/9/2022 18:30,,261.1,58.44,150.4
12,2/9/2022 18:45,,261.1,58.44,150.4
13,2/9/2022 19:00,,261.5,58.46,150.6
14,2/9/2022 19:15,,261.1,58.44,150.4
15,2/9/2022 19:30,,261.1,58.44,150.4
16,2/9/2022 19:45,,261.1,58.46,150.4
17,2/9/2022 20:00,,260.7,58.44,150.2
18,2/9/2022 20:15,,260.7,58.42,150.2
19,2/9/2022 20:30,,261.1,58.44,150.4
20,2/9/2022 20:45,,260.7,58.44,150.2
21,2/9/2022 21:00,,260.7,58.44,150.2
22,2/9/2022 21:15,,260.7,58.44,150.2
23,2/9/2022 21:30,,260.7,58.44,150.2
24,2/9/2022 21:45,,260.7,58.44,150.2
25,2/9/2022 22:00,,260.3,58.44,149.9
26,2/9/2022 22:15,,260.3,58.44,149.9
27,2/9/2022 22:30,,260.3,58.44,149.9
28,2/9/2022 22:45,,260.3,58.44,149.9
29,2/9/2022 23:00,,259.9,58.44,149.7
30,2/9/2022 23:15,,259.9,58.44,149.7
31,2/9/2022 23:30,,259.9,58.44,149.7
32,2/9/2022 23:45,,259.9,58.44,149.7
33,2/10/2022 0:00,,259.5,58.44,149.5
34,2/10/2022 0:15,,259.5,58.44,149.5
35,2/10/2022 0:30,,259.1,58.44,149.3
36,2/10/2022 0:45,,259.5,58.44,149.5
37,2/10/2022 1:00,,259.1,58.44,149.3
38,2/10/2022 1:15,,259.1,58.44,149.3
