#,Date ,"Abs Pres, kPa (LGR S/N: 21131860, SEN S/N: 21131860)","Temp, °C (LGR S/N: 21131860, SEN S/N: 21131860)","Abs Pres Barom., kPa (LGR S/N: 21132118, SEN S/N: 21132118)",Sensor_Depth
1,2/9/2022 16:45,101.327,14.421,,
2,2/9/2022 17:00,101.334,12.207,101.44,-0.011
3,2/9/2022 17:15,101.316,10.944,101.406,-0.009
4,2/9/2022 17:30,101.312,10.161,101.422,-0.011
5,2/9/2022 17:45,101.298,9.669,101.444,-0.015
6,2/9/2022 18:00,101.304,9.275,101.372,-0.007
7,2/9/2022 18:15,101.313,8.978,101.35,-0.004
8,2/9/2022 18:30,101.308,8.779,101.347,-0.004
9,2/9/2022 18:45,101.319,8.581,101.304,0.002
10,2/9/2022 19:00,101.314,8.382,101.282,0.003
11,2/9/2022 19:15,101.308,8.182,101.246,0.006
12,2/9/2022 19:30,101.303,7.983,101.24,0.006
13,2/9/2022 19:45,101.312,7.682,101.246,0.007
14,2/9/2022 20:00,101.323,7.481,101.25,0.007
15,2/9/2022 20:15,101.365,7.179,101.275,0.009
16,2/9/2022 20:30,101.393,6.978,101.306,0.009
17,2/9/2022 20:45,101.421,6.775,101.315,0.011
18,2/9/2022 21:00,101.432,6.573,101.335,0.01
19,2/9/2022 21:15,101.407,6.268,101.311,0.01
20,2/9/2022 21:30,101.418,6.064,101.325,0.009
21,2/9/2022 21:45,101.416,5.962,101.319,0.01
22,2/9/2022 22:00,101.41,5.757,101.347,0.006
23,2/9/2022 22:15,101.407,5.655,101.336,0.007
24,2/9/2022 22:30,101.419,5.45,101.352,0.007
25,2/9/2022 22:45,101.43,5.244,101.335,0.01
26,2/9/2022 23:00,101.427,5.141,101.344,0.009
27,2/9/2022 23:15,101.441,5.037,101.366,0.008
28,2/9/2022 23:30,101.438,4.934,101.368,0.007
29,2/9/2022 23:45,101.435,4.831,101.357,0.008
30,2/10/2022 0:00,101.449,4.727,101.355,0.009
31,2/10/2022 0:15,101.463,4.623,101.36,0.01
32,2/10/2022 0:30,101.444,4.519,101.362,0.008
33,2/10/2022 0:45,101.458,4.415,101.382,0.008
34,2/10/2022 1:00,101.455,4.311,101.373,0.008
35,2/10/2022 1:15,101.435,4.207,101.362,0.007
36,2/10/2022 1:30,101.435,4.207,101.354,0.008
37,2/10/2022 1:45,101.416,4.102,101.329,0.009
38,2/10/2022 2:00,101.413,3.998,101.314,0.01
39,2/10/2022 2:15,101.397,3.998,101.317,0.008
40,2/10/2022 2:30,101.38,3.998,101.284,0.01
41,2/10/2022 2:45,101.394,3.893,101.303,0.009
42,2/10/2022 3:00,101.377,3.893,101.286,0.009
43,2/10/2022 3:15,101.377,3.893,101.289,0.009
44,2/10/2022 3:30,101.341,3.788,101.267,0.008
45,2/10/2022 3:45,101.341,3.788,101.256,0.009
46,2/10/2022 4:00,101.358,3.788,101.272,0.009
47,2/10/2022 4:15,101.355,3.683,101.255,0.01
48,2/10/2022 4:30,101.352,3.578,101.279,0.007
49,2/10/2022 4:45,101.369,3.578,101.288,0.008
50,2/10/2022 5:00,101.385,3.578,101.277,0.011
51,2/10/2022 5:15,101.382,3.472,101.31,0.007
52,2/10/2022 5:30,101.382,3.472,101.314,0.007
53,2/10/2022 5:45,101.416,3.472,101.339,0.008
54,2/10/2022 6:00,101.433,3.472,101.366,0.007
55,2/10/2022 6:15,101.466,3.472,101.374,0.009
56,2/10/2022 6:30,101.483,3.472,101.399,0.009
57,2/10/2022 6:45,101.499,3.472,101.418,0.008
58,2/10/2022 7:00,101.516,3.472,101.437,0.008
59,2/10/2022 7:15,101.516,3.472,101.446,0.007
60,2/10/2022 7:30,101.549,3.472,101.465,0.009
61,2/10/2022 7:45,101.563,3.367,101.484,0.008
62,2/10/2022 8:00,101.563,3.367,101.505,0.006
63,2/10/2022 8:15,101.594,3.261,101.499,0.01
64,2/10/2022 8:30,101.61,3.261,101.516,0.009
65,2/10/2022 8:45,101.627,3.261,101.522,0.011
66,2/10/2022 9:00,101.627,3.261,101.524,0.01
67,2/10/2022 9:15,101.663,3.367,101.57,0.009
68,2/10/2022 9:30,101.689,3.683,101.655,0.003
69,2/10/2022 9:45,101.683,4.102,101.906,-0.023
70,2/10/2022 10:00,101.7,4.727,101.98,-0.029
71,2/10/2022 10:15,101.689,5.552,102.031,-0.035
72,2/10/2022 10:30,101.716,6.573,102.056,-0.035
73,2/10/2022 10:45,101.713,7.682,102.043,-0.034
74,2/10/2022 11:00,101.725,8.779,102.063,-0.034
75,2/10/2022 11:15,101.724,9.965,102.057,-0.034
76,2/10/2022 11:30,101.72,11.041,102.058,-0.034
77,2/10/2022 11:45,101.732,12.11,102.058,-0.033
78,2/10/2022 12:00,101.711,13.173,102.021,-0.032
79,2/10/2022 12:15,101.704,14.134,102.009,-0.031
80,2/10/2022 12:30,101.683,15.187,101.989,-0.031
81,2/10/2022 12:45,101.659,16.141,101.973,-0.032
82,2/10/2022 13:00,101.632,16.999,101.928,-0.03
83,2/10/2022 13:15,101.609,17.379,101.864,-0.026
84,2/10/2022 13:30,101.543,16.808,101.838,-0.03
85,2/10/2022 13:45,101.517,15.855,101.815,-0.03
86,2/10/2022 14:00,101.496,15.091,101.781,-0.029
87,2/10/2022 14:15,101.447,14.517,101.753,-0.031
88,2/10/2022 14:30,101.434,14.038,101.713,-0.028
89,2/10/2022 14:45,101.387,13.558,101.682,-0.03
90,2/10/2022 15:00,101.363,13.269,101.683,-0.033
91,2/10/2022 15:15,101.371,12.98,101.663,-0.03
92,2/10/2022 15:30,101.33,12.69,101.655,-0.033
93,2/10/2022 15:45,101.358,12.497,101.644,-0.029
94,2/10/2022 16:00,101.322,12.401,101.644,-0.033
95,2/10/2022 16:15,101.317,12.207,101.621,-0.031
96,2/10/2022 16:30,101.348,12.11,101.531,-0.019
97,2/10/2022 16:45,101.348,12.11,101.514,-0.017
98,2/10/2022 17:00,101.345,12.013,101.493,-0.015
99,2/10/2022 17:15,101.343,11.916,101.495,-0.016
100,2/10/2022 17:30,101.357,11.819,101.503,-0.015
101,2/10/2022 17:45,101.354,11.722,101.497,-0.015
102,2/10/2022 18:00,101.368,11.625,101.495,-0.013
103,2/10/2022 18:15,101.349,11.528,101.491,-0.015
104,2/10/2022 18:30,101.343,11.334,101.46,-0.012
105,2/10/2022 18:45,101.374,11.236,101.483,-0.011
106,2/10/2022 19:00,101.366,10.944,101.468,-0.01
