#,Date,DO_concentration ,"Temp, °F (LGR S/N: 20880670_21120534_duplicate_duplicate, SEN S/N: 20880670)"
1,2/24/2022 9:00,9.01,74.23
2,2/24/2022 9:15,9.02,74.08
3,2/24/2022 9:30,9.01,74.01
4,2/24/2022 9:45,9.03,74.01
5,2/24/2022 10:00,9.04,74.01
6,2/24/2022 10:15,9.04,73.98
7,2/24/2022 10:30,9.03,73.94
8,2/24/2022 10:45,9.04,73.9
9,2/24/2022 11:00,8.85,70.34
10,2/24/2022 11:15,5.57,63.82
11,2/24/2022 11:30,6.23,59.86
12,2/24/2022 11:45,6.52,58.93
13,2/24/2022 12:00,6.72,58.71
14,2/24/2022 12:15,7.02,58.71
15,2/24/2022 12:30,6.97,58.71
16,2/24/2022 12:45,6.77,58.71
17,2/24/2022 13:00,6.74,58.75
18,2/24/2022 13:15,6.8,58.78
19,2/24/2022 13:30,6.75,58.82
20,2/24/2022 13:45,6.7,58.82
21,2/24/2022 14:00,6.5,58.78
22,2/24/2022 14:15,6.02,58.78
23,2/24/2022 14:30,5.82,58.78
24,2/24/2022 14:45,5.58,58.75
25,2/24/2022 15:00,4.97,58.68
26,2/24/2022 15:15,5.02,58.64
27,2/24/2022 15:30,4.98,58.6
28,2/24/2022 15:45,4.82,58.6
29,2/24/2022 16:00,3.99,58.57
30,2/24/2022 16:15,5.5,58.53
31,2/24/2022 16:30,7.26,58.46
32,2/24/2022 16:45,7.18,58.42
33,2/24/2022 17:00,7.33,58.35
34,2/24/2022 17:15,7.23,58.28
35,2/24/2022 17:30,8.01,58.21
36,2/24/2022 17:45,7.97,58.17
37,2/24/2022 18:00,7.08,58.1
38,2/24/2022 18:15,6.84,58.03
39,2/24/2022 18:30,6.71,57.96
40,2/24/2022 18:45,6.82,57.88
41,2/24/2022 19:00,6.41,57.81
42,2/24/2022 19:15,5.99,57.74
43,2/24/2022 19:30,5.34,57.67
44,2/24/2022 19:45,4.95,57.6
45,2/24/2022 20:00,4.84,57.52
46,2/24/2022 20:15,4.65,57.45
47,2/24/2022 20:30,4.72,57.42
48,2/24/2022 20:45,4.89,57.34
49,2/24/2022 21:00,4.66,57.27
50,2/24/2022 21:15,4.23,57.24
51,2/24/2022 21:30,3.9,57.16
52,2/24/2022 21:45,3.77,57.09
53,2/24/2022 22:00,3.72,57.06
54,2/24/2022 22:15,3.57,56.98
55,2/24/2022 22:30,3.3,56.91
56,2/24/2022 22:45,3.29,56.84
57,2/24/2022 23:00,3.25,56.8
58,2/24/2022 23:15,3.3,56.73
59,2/24/2022 23:30,3.29,56.7
60,2/24/2022 23:45,3.26,56.62
61,2/25/2022 0:00,3.32,56.55
62,2/25/2022 0:15,3.31,56.48
63,2/25/2022 0:30,3.31,56.44
64,2/25/2022 0:45,3.29,56.37
65,2/25/2022 1:00,3.23,56.34
66,2/25/2022 1:15,3.21,56.3
67,2/25/2022 1:30,3.23,56.26
68,2/25/2022 1:45,3.16,56.23
69,2/25/2022 2:00,3.07,56.19
70,2/25/2022 2:15,3.01,56.12
71,2/25/2022 2:30,3,56.08
72,2/25/2022 2:45,3.06,56.05
73,2/25/2022 3:00,3.02,56.01
74,2/25/2022 3:15,3.05,56.01
75,2/25/2022 3:30,3.23,56.01
76,2/25/2022 3:45,3.23,55.98
77,2/25/2022 4:00,3.21,55.98
78,2/25/2022 4:15,3.19,55.94
79,2/25/2022 4:30,3.14,55.94
80,2/25/2022 4:45,3,55.9
81,2/25/2022 5:00,2.88,55.9
82,2/25/2022 5:15,2.78,55.87
83,2/25/2022 5:30,2.69,55.87
84,2/25/2022 5:45,2.65,55.83
85,2/25/2022 6:00,2.58,55.83
86,2/25/2022 6:15,2.49,55.8
87,2/25/2022 6:30,2.43,55.8
88,2/25/2022 6:45,2.37,55.8
89,2/25/2022 7:00,2.33,55.8
90,2/25/2022 7:15,2.3,55.8
91,2/25/2022 7:30,2.26,55.76
92,2/25/2022 7:45,2.14,55.76
93,2/25/2022 8:00,2.11,55.76
94,2/25/2022 8:15,2.15,55.76
95,2/25/2022 8:30,2.12,55.8
96,2/25/2022 8:45,2.06,55.83
97,2/25/2022 9:00,2.01,55.83
98,2/25/2022 9:15,2,55.87
99,2/25/2022 9:30,2.17,55.94
100,2/25/2022 9:45,2.3,56.01
101,2/25/2022 10:00,2.22,56.08
102,2/25/2022 10:15,2.17,56.16
103,2/25/2022 10:30,2.19,56.26
104,2/25/2022 10:45,2.25,56.41
105,2/25/2022 11:00,2.13,56.59
106,2/25/2022 11:15,2.07,56.77
107,2/25/2022 11:30,1.9,56.95
108,2/25/2022 11:45,1.62,57.16
109,2/25/2022 12:00,1.28,57.42
110,2/25/2022 12:15,1.16,57.6
111,2/25/2022 12:30,1.03,57.78
112,2/25/2022 12:45,0.93,57.96
113,2/25/2022 13:00,0.93,58.06
114,2/25/2022 13:15,1.11,58.17
115,2/25/2022 13:30,1.12,58.28
116,2/25/2022 13:45,1.19,58.35
117,2/25/2022 14:00,1.25,58.39
118,2/25/2022 14:15,1.64,58.46
119,2/25/2022 14:30,2.14,58.5
120,2/25/2022 14:45,2.47,58.53
121,2/25/2022 15:00,2.55,58.57
122,2/25/2022 15:15,2.3,58.6
123,2/25/2022 15:30,2.21,58.57
124,2/25/2022 15:45,2.25,58.53
125,2/25/2022 16:00,2.55,58.53
126,2/25/2022 16:15,2.45,58.5
127,2/25/2022 16:30,2.3,58.46
128,2/25/2022 16:45,2.47,58.46
129,2/25/2022 17:00,2.27,58.42
130,2/25/2022 17:15,2.11,58.39
131,2/25/2022 17:30,2.07,58.39
132,2/25/2022 17:45,2.1,58.39
133,2/25/2022 18:00,1.99,58.39
134,2/25/2022 18:15,1.88,58.39
135,2/25/2022 18:30,1.74,58.39
136,2/25/2022 18:45,1.79,58.39
137,2/25/2022 19:00,1.83,58.35
138,2/25/2022 19:15,1.54,58.35
139,2/25/2022 19:30,1.93,58.35
140,2/25/2022 19:45,1.94,58.35
141,2/25/2022 20:00,1.49,58.32
142,2/25/2022 20:15,1.31,58.32
143,2/25/2022 20:30,1.33,58.32
144,2/25/2022 20:45,1.44,58.32
145,2/25/2022 21:00,1.66,58.32
146,2/25/2022 21:15,1.81,58.35
147,2/25/2022 21:30,1.82,58.35
148,2/25/2022 21:45,1.77,58.35
149,2/25/2022 22:00,1.52,58.35
150,2/25/2022 22:15,1.45,58.35
151,2/25/2022 22:30,1.42,58.35
152,2/25/2022 22:45,1.34,58.35
153,2/25/2022 23:00,1.32,58.35
154,2/25/2022 23:15,1.29,58.39
155,2/25/2022 23:30,1.1,58.39
156,2/25/2022 23:45,1.1,58.35
157,2/26/2022 0:00,1.1,58.35
158,2/26/2022 0:15,0.98,58.35
159,2/26/2022 0:30,1.01,58.32
160,2/26/2022 0:45,1.09,58.28
161,2/26/2022 1:00,1.08,58.24
162,2/26/2022 1:15,1.24,58.17
