SampleID,Location,NetNratio
IS_P1_W_R1_V1,upstream,0.996020519
IS_P1_W_R1_V2,upstream,1.001188629
IS_P1_W_R1_V3,upstream,0.992001948
IS_P1_W_R2_V1,upstream,1.003185964
IS_P1_W_R2_V2,upstream,1.000358676
IS_P1_W_R2_V3,upstream,0.998791772
IS_P1_W_R3_V1,upstream,0.997493432
IS_P1_W_R3_V2,upstream,0.995569253
IS_P1_W_R3_V3,upstream,1.000312991
IS_P4_W_R1_V1,downstream,1.008800908
IS_P4_W_R1_V2,downstream,1.006265567
IS_P4_W_R1_V3,downstream,1.004400391
IS_P4_W_R2_V1,downstream,1.004674058
IS_P4_W_R2_V2,downstream,1.002305387
IS_P4_W_R2_V3,downstream,1.001868083
IS_P4_W_R3_V1,downstream,1.003326468
IS_P4_W_R3_V2,downstream,0.981888992
IS_P4_W_R3_V3,downstream,0.976157549
