Date,Time,NO3,Up_or_Down,Nitrate_units
7/2/20 0:00,0:00,0.78607284,Up,NO3-n (mg/l)
7/2/20 0:00,0:00,0.289608732,Down,NO3-n (mg/l)
7/23/20 0:00,0:00,0.707941794,Up,NO3-n (mg/l)
7/23/20 0:00,0:00,0.086045001,Down,NO3-n (mg/l)
7/29/20 0:00,0:00,0.533036385,Up,NO3-n (mg/l)
7/29/20 0:00,0:00,0.282927393,Down,NO3-n (mg/l)
8/3/20 8:00,8:00,0.742945287,Up,NO3-n (mg/l)
8/3/20 8:00,8:00,0.245514696,Down,NO3-n (mg/l)
8/3/20 15:50,15:50,0.50453214,Up,NO3-n (mg/l)
8/3/20 15:50,15:50,0.386705256,Down,NO3-n (mg/l)
8/3/20 20:55,20:55,0.442971375,Up,NO3-n (mg/l)
8/3/20 20:55,20:55,0.26501244,Down,NO3-n (mg/l)
8/4/20 3:30,3:30,0.088202079,Up,NO3-n (mg/l)
8/4/20 3:30,3:30,0.075805884,Down,NO3-n (mg/l)
8/4/20 8:05,8:05,0.108190068,Up,NO3-n (mg/l)
8/4/20 8:05,8:05,0.255193533,Down,NO3-n (mg/l)
8/4/20 14:05,14:05,0.198801351,Up,NO3-n (mg/l)
8/4/20 14:05,14:05,0.35409696,Down,NO3-n (mg/l)
8/4/20 17:45,17:45,0.278136999,Up,NO3-n (mg/l)
8/4/20 17:45,17:45,0.340496163,Down,NO3-n (mg/l)
8/13/20 0:00,0:00,0.507991869,Up,NO3-n (mg/l)
8/13/20 0:00,0:00,0.44892435,Down,NO3-n (mg/l)
8/27/20 0:00,0:00,0.52764369,Up,NO3-n (mg/l)
8/27/20 0:00,0:00,0.296976414,Down,NO3-n (mg/l)
9/16/20 0:00,0:00,0.497080416,Up,NO3-n (mg/l)
9/16/20 0:00,0:00,0.190131018,Down,NO3-n (mg/l)
10/16/20 0:00,0:00,0.87,Up,NO3-n (mg/l)
10/16/20 0:00,0:00,0.47,Down,NO3-n (mg/l)
11/10/20 0:00,0:00,0.64,Up,NO3-n (mg/l)
11/10/20 0:00,0:00,0.24,Down,NO3-n (mg/l)
11/11/20 12:00,12:00,0.65,Up,NO3-n (mg/l)
11/11/20 12:00,12:00,0.3,Down,NO3-n (mg/l)
11/11/20 14:00,14:00,0.71,Up,NO3-n (mg/l)
11/11/20 14:00,14:00,0.31,Down,NO3-n (mg/l)
11/11/20 15:00,15:00,0.86,Up,NO3-n (mg/l)
11/11/20 15:00,15:00,0.44,Down,NO3-n (mg/l)
11/11/20 16:00,16:00,0.6,Up,NO3-n (mg/l)
11/11/20 16:00,16:00,0.46,Down,NO3-n (mg/l)
11/11/20 18:45,18:45,0.22,Up,NO3-n (mg/l)
11/11/20 18:45,18:45,0.31,Down,NO3-n (mg/l)
11/12/20 1:00,1:00,0.11,Up,NO3-n (mg/l)
11/12/20 1:00,1:00,0.1,Down,NO3-n (mg/l)
11/12/20 7:15,7:15,0.31,Up,NO3-n (mg/l)
11/12/20 7:15,7:15,0.3,Down,NO3-n (mg/l)
11/12/20 13:15,13:15,0.11,Up,NO3-n (mg/l)
11/12/20 13:15,13:15,0.1,Down,NO3-n (mg/l)
11/12/20 22:00,22:00,0.5,Up,NO3-n (mg/l)
11/12/20 22:00,22:00,0.4,Down,NO3-n (mg/l)
11/13/20 7:00,7:00,0.47,Up,NO3-n (mg/l)
11/13/20 7:00,7:00,0.54,Down,NO3-n (mg/l)
11/13/20 12:00,12:00,0.79,Up,NO3-n (mg/l)
11/13/20 12:00,12:00,0.69,Down,NO3-n (mg/l)
11/13/20 16:30,16:30,0.8,Up,NO3-n (mg/l)
11/13/20 16:30,16:30,0.68,Down,NO3-n (mg/l)
11/16/20 14:50,14:50,1.23,Up,NO3-n (mg/l)
11/16/20 14:50,14:50,0.38,Down,NO3-n (mg/l)
11/17/20 15:00,15:00,1.22,Up,NO3-n (mg/l)
11/17/20 15:00,15:00,0.37,Down,NO3-n (mg/l)
12/10/20 0:00,0:00,1,Up,NO3-n (mg/l)
12/10/20 0:00,0:00,0.74,Down,NO3-n (mg/l)
1/14/21 0:00,0:00,0.97,Up,NO3-n (mg/l)
1/14/21 0:00,0:00,0.86,Down,NO3-n (mg/l)
2/17/21 0:00,0:00,0.907849698,Up,NO3-n (mg/l)
2/17/21 0:00,0:00,0.762779199,Down,NO3-n (mg/l)
3/10/21 0:00,0:00,1.278657009,Up,NO3-n (mg/l)
3/10/21 0:00,0:00,0.90821388,Down,NO3-n (mg/l)
4/30/21 0:00,0:00,0.898871211,Up,NO3-n (mg/l)
4/30/21 0:00,0:00,0.660542106,Down,NO3-n (mg/l)
5/26/21 0:00,0:00,0.747539583,Up,NO3-n (mg/l)
5/26/21 0:00,0:00,0.274523193,Down,NO3-n (mg/l)
6/2/21 0:00,0:00,0.744065847,Up,NO3-n (mg/l)
6/2/21 0:00,0:00,0.473758761,Down,NO3-n (mg/l)
